name,birthday,nationality
Dwayne Johnson,1972-05-02,USA
Brad Pitt,1963-12-18,USA
Tom Hanks,1956-07-09,USA
Meryl Streep,1949-06-22,USA
Johnny Depp,1963-06-09,USA
Will Smith,1968-09-25,USA
Emma Watson,1990-04-15,GBR
Daniel Radcliffe,1989-07-23,GBR
Gal Gadot,1985-04-30,ISR
Hugh Jackman,1968-10-12,AUS
Russell Crowe,1964-04-07,NZL
Cate Blanchett,1969-05-14,AUS
Nicole Kidman,1967-06-20,AUS
Charlize Theron,1975-08-07,ZAF
Denzel Washington,1954-12-28,USA
Tom Cruise,1962-07-03,USA
Julia Roberts,1967-10-28,USA
Matt Damon,1970-10-08,USA
Robert Downey Jr.,1965-04-04,USA
Chris Hemsworth,1983-08-11,AUS
Natalie Portman,1981-06-09,ISR
Scarlett Johansson,1984-11-22,USA
Jennifer Lawrence,1990-08-15,USA
Angelina Jolie,1975-06-04,USA
Ryan Reynolds,1976-10-23,CAN
Ryan Gosling,1980-11-12,CAN
Emma Stone,1988-11-06,USA
Eddie Redmayne,1982-01-06,GBR
Christian Bale,1974-01-30,GBR
Joaquin Phoenix,1974-10-28,USA
Anne Hathaway,1982-11-12,USA
Matthew McConaughey,1969-11-04,USA
Morgan Freeman,1937-06-01,USA
Leonardo DiCaprio,1974-11-11,USA
Michael Caine,1933-03-14,GBR
Harrison Ford,1942-07-13,USA
Al Pacino,1940-04-25,USA
Jack Nicholson,1937-04-22,USA
Sean Connery,1930-08-25,GBR
Robert De Niro,1943-08-17,USA
Anthony Hopkins,1937-12-31,GBR
Clint Eastwood,1930-05-31,USA
Julianne Moore,1960-12-03,USA
Halle Berry,1966-08-14,USA
Tom Hardy,1977-09-15,GBR
Daniel Craig,1968-03-02,GBR
